Mutant;ALL;Jaccard
e_acos.mut.76.8_2_25.LCR.__ieee754_acos;0;0
e_acos.mut.77.1_1_19.LVR.__ieee754_acos;1;1
e_acos.mut.77.1_1_3.SDL.__ieee754_acos;1;1
e_acos.mut.77.1_2_6.UOI.__ieee754_acos;0;0
e_acos.mut.77.1_2_9.ICR.__ieee754_acos;0;0
e_acos.mut.77.2_4_6.UOI.__ieee754_acos;0;0
e_acos.mut.77.3_1_6.UOI.__ieee754_acos;0;0
e_acos.mut.77.3_2_8.ROR.__ieee754_acos;1;1
e_acos.mut.77.4_3_6.UOI.__ieee754_acos;0;0
e_acos.mut.77.7_1_6.ROR.__ieee754_acos;1;1
e_acos.mut.78.1_1_15.ABS.__ieee754_acos;1;1
e_acos.mut.78.1_1_15.AOD.__ieee754_acos;1;1
e_acos.mut.78.1_3_18.AOD.__ieee754_acos;0;0
e_acos.mut.78.1_6_21.AOR.__ieee754_acos;1;1
e_acos.mut.78.2_4_21.AOD.__ieee754_acos;1;1
e_acos.mut.78.2_7_21.AOR.__ieee754_acos;1;1
e_acos.mut.78.3_2_17.AOR.__ieee754_acos;1;1
e_acos.mut.78.4_4_17.AOR.__ieee754_acos;1;1
e_acos.mut.78.4_8_21.AOR.__ieee754_acos;1;1
e_acos.mut.80.1_1_14.ABS.__ieee754_acos;1;0
e_acos.mut.80.1_1_6.SDL.__ieee754_acos;0;0
e_acos.mut.80.1_3_15.AOR.__ieee754_acos;1;0
e_acos.mut.80.1_3_20.ABS.__ieee754_acos;1;0
e_acos.mut.80.1_7_18.AOR.__ieee754_acos;1;0
e_acos.mut.80.2_6_21.AOD.__ieee754_acos;1;0
e_acos.mut.80.3_2_15.AOR.__ieee754_acos;1;0
e_acos.mut.80.4_4_15.AOR.__ieee754_acos;1;0
e_acos.mut.82.1_1_2.SDL.__ieee754_acos;1;1
e_acos.mut.82.1_1_5.ROD.__ieee754_acos;1;1
e_acos.mut.82.1_2_5.UOI.__ieee754_acos;1;1
e_acos.mut.82.1_4_7.ROR.__ieee754_acos;1;1
e_acos.mut.82.1_6_8.ICR.__ieee754_acos;1;1
e_acos.mut.82.2_2_7.ROD.__ieee754_acos;1;1
e_acos.mut.82.2_4_5.UOI.__ieee754_acos;0;0
e_acos.mut.82.3_1_5.UOI.__ieee754_acos;1;0
e_acos.mut.82.4_3_5.UOI.__ieee754_acos;0;0
e_acos.mut.82.5_3_7.ROR.__ieee754_acos;1;1
e_acos.mut.82.5_3_8.ICR.__ieee754_acos;1;0
e_acos.mut.82.6_1_7.ROR.__ieee754_acos;1;1
e_acos.mut.83.1_1_32.ABS.__ieee754_acos;1;1
e_acos.mut.83.1_1_32.AOD.__ieee754_acos;1;1
e_acos.mut.83.1_1_9.ROD.__ieee754_acos;1;1
e_acos.mut.83.1_2_9.UOI.__ieee754_acos;0;0
e_acos.mut.83.1_6_13.ICR.__ieee754_acos;0;0
e_acos.mut.83.2_2_11.ROD.__ieee754_acos;1;1
e_acos.mut.83.2_2_39.AOD.__ieee754_acos;0;0
e_acos.mut.83.2_4_9.UOI.__ieee754_acos;0;0
e_acos.mut.83.2_5_11.ROR.__ieee754_acos;1;1
e_acos.mut.83.3_1_9.UOI.__ieee754_acos;0;0
e_acos.mut.83.3_2_39.AOR.__ieee754_acos;1;1
e_acos.mut.83.3_5_13.ICR.__ieee754_acos;0;0
e_acos.mut.83.4_2_13.ICR.__ieee754_acos;0;0
e_acos.mut.83.4_3_9.UOI.__ieee754_acos;0;0
e_acos.mut.83.4_4_39.AOR.__ieee754_acos;1;1
e_acos.mut.83.5_3_11.ROR.__ieee754_acos;0;0
e_acos.mut.83.6_1_11.ROR.__ieee754_acos;1;1
e_acos.mut.84.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.84.1_2_11.AOR.__ieee754_acos;1;1
e_acos.mut.84.2_3_11.AOR.__ieee754_acos;1;1
e_acos.mut.84.4_4_11.AOR.__ieee754_acos;1;1
e_acos.mut.85.1_1_10.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_1_10.AOD.__ieee754_acos;1;1
e_acos.mut.85.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.85.1_10_18.AOR.__ieee754_acos;1;1
e_acos.mut.85.1_10_41.ABS.__ieee754_acos;1;1
e_acos.mut.85.1_11_27.AOD.__ieee754_acos;1;1
