Mutant;ALL;Jaccard
bytebuffer.mut.42.4_3_29.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.42.5_4_29.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.42.6_1_29.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.44.1_1_17.SDL.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.44.3_1_27.LCR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.44.5_2_27.LCR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.45.1_1_17.SDL.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.46.1_1_17.SDL.gs_bytebuffer_vprintf;0;0
bytebuffer.mut.46.1_1_28.AOD.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.46.1_5_44.ICR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.46.2_4_44.ICR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.46.4_3_39.ICR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.46.5_1_37.AOR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.48.1_1_17.SDL.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.48.1_1_29.ABS.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.48.1_2_29.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.48.10_1_26.AOR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.48.3_1_29.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.48.7_3_26.AOR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.48.8_2_26.AOR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.48.9_4_26.AOR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.52.1_1_9.ABS.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.52.1_4_13.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.52.2_1_15.ICR.gs_bytebuffer_vprintf;0;0
bytebuffer.mut.52.5_3_13.ROR.gs_bytebuffer_vprintf;0;0
bytebuffer.mut.60.1_1_5.SDL.gs_bytebuffer_printf;1;1
bytebuffer.mut.61.1_1_5.SDL.gs_bytebuffer_printf;1;1
bytebuffer.mut.67.1_1_5.SDL.gs_bytebuffer_append;1;1
bytebuffer.mut.67.2_5_20.ROR.gs_bytebuffer_append;1;1
bytebuffer.mut.67.7_1_9.ROR.gs_bytebuffer_append;1;1
bytebuffer.mut.69.1_1_9.SDL.gs_bytebuffer_append;1;1
bytebuffer.mut.69.1_2_21.UOI.gs_bytebuffer_append;1;1
bytebuffer.mut.69.10_1_18.AOR.gs_bytebuffer_append;1;1
bytebuffer.mut.69.3_1_21.UOI.gs_bytebuffer_append;1;1
bytebuffer.mut.69.7_3_18.AOR.gs_bytebuffer_append;1;1
bytebuffer.mut.69.8_2_18.AOR.gs_bytebuffer_append;1;1
bytebuffer.mut.69.9_4_18.AOR.gs_bytebuffer_append;1;1
bytebuffer.mut.72.1_1_13.ROD.gs_bytebuffer_append;0;0
bytebuffer.mut.72.1_1_9.SDL.gs_bytebuffer_append;1;1
bytebuffer.mut.72.1_5_24.ROR.gs_bytebuffer_append;0;0
bytebuffer.mut.72.1_6_27.UOI.gs_bytebuffer_append;1;1
bytebuffer.mut.72.2_2_24.ROD.gs_bytebuffer_append;0;0
bytebuffer.mut.72.3_5_27.UOI.gs_bytebuffer_append;1;1
bytebuffer.mut.72.4_3_24.ROR.gs_bytebuffer_append;1;1
bytebuffer.mut.72.4_7_27.UOI.gs_bytebuffer_append;1;1
bytebuffer.mut.72.5_4_24.ROR.gs_bytebuffer_append;1;1
bytebuffer.mut.72.6_1_24.ROR.gs_bytebuffer_append;0;0
bytebuffer.mut.73.1_1_13.SDL.gs_bytebuffer_append;1;1
bytebuffer.mut.73.1_2_49.UOI.gs_bytebuffer_append;1;1
bytebuffer.mut.73.2_4_49.UOI.gs_bytebuffer_append;1;1
bytebuffer.mut.73.4_3_49.UOI.gs_bytebuffer_append;1;1
bytebuffer.mut.74.1_1_13.SDL.gs_bytebuffer_append;1;1
bytebuffer.mut.74.10_1_22.AOR.gs_bytebuffer_append;1;1
bytebuffer.mut.74.7_3_22.AOR.gs_bytebuffer_append;1;1
bytebuffer.mut.74.8_2_22.AOR.gs_bytebuffer_append;1;1
bytebuffer.mut.74.9_4_22.AOR.gs_bytebuffer_append;1;1
bytebuffer.mut.85.1_4_33.ROR.gs_bytebuffer_append_string;1;1
bytebuffer.mut.85.2_5_33.ROR.gs_bytebuffer_append_string;0;0
bytebuffer.mut.99.1_1_5.SDL.gs_bytebuffer_get_as_string;1;1
bytebuffer.mut.99.1_1_9.LOD.gs_bytebuffer_get_as_string;0;0
bytebuffer.mut.99.2_1_12.LCR.gs_bytebuffer_get_as_string;0;0
bytebuffer.mut.99.2_2_12.LOD.gs_bytebuffer_get_as_string;0;0
bytebuffer.mut.99.7_1_9.ROR.gs_bytebuffer_get_as_string;1;1
byteorder.mut.114.1_1_5.SDL.util_htole16;1;1
byteorder.mut.114.1_2_12.UOI.util_htole16;1;1
byteorder.mut.114.3_1_12.UOI.util_htole16;1;1
byteorder.mut.12.1_1_24.SOD.util_hton16;1;1
byteorder.mut.12.1_1_5.SDL.util_hton16;1;1
byteorder.mut.12.1_12_42.ICR.util_hton16;1;1
byteorder.mut.12.1_2_25.UOI.util_hton16;1;1
byteorder.mut.12.2_4_45.BOD.util_hton16;1;1
byteorder.mut.12.2_7_42.ICR.util_hton16;1;1
byteorder.mut.12.3_1_25.UOI.util_hton16;1;1
byteorder.mut.12.4_3_25.UOI.util_hton16;1;1
byteorder.mut.12.4_8_42.ICR.util_hton16;1;1
byteorder.mut.12.5_9_42.ICR.util_hton16;1;1
byteorder.mut.12.6_10_42.ICR.util_hton16;1;1
byteorder.mut.12.6_3_45.LCR.util_hton16;1;1
byteorder.mut.12.7_2_29.LCR.util_hton16;1;1
byteorder.mut.12.8_1_29.LCR.util_hton16;1;1
byteorder.mut.124.1_1_5.SDL.util_betoh16;1;1
byteorder.mut.124.1_2_24.UOI.util_betoh16;1;1
byteorder.mut.124.3_1_24.UOI.util_betoh16;1;1
byteorder.mut.129.1_1_5.SDL.util_letoh16;1;1
byteorder.mut.129.1_2_25.UOI.util_letoh16;1;1
byteorder.mut.129.3_1_25.UOI.util_letoh16;1;1
byteorder.mut.13.1_1_24.SOD.util_hton16;1;1
byteorder.mut.13.1_1_25.BOD.util_hton16;1;1
byteorder.mut.13.1_12_42.ICR.util_hton16;1;1
byteorder.mut.13.1_2_25.UOI.util_hton16;1;1
