MUTANT,TEST,CONFIGURATION,RESULT,FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
8,param3,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,param4,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,rparam3,CONFIGURED,FAILED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,rparam4,CONFIGURED,FAILED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,serialize,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,spi,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,store,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,store_load,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,vmem_store_checksum_first,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,vmem_store_checksum_last,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,bindings,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,example,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,file_store,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,i2c,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,log,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,param3,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,param4,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,rparam3,CONFIGURED,FAILED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,rparam4,CONFIGURED,FAILED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,serialize,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,spi,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,store,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,store_load,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,vmem_store_checksum_first,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
9,vmem_store_checksum_last,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
10,bindings,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,example,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,file_store,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,i2c,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,log,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,param3,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,param4,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,rparam3,CONFIGURED,FAILED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,rparam4,CONFIGURED,FAILED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,serialize,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,spi,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,store,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,store_load,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,vmem_store_checksum_first,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
10,vmem_store_checksum_last,CONFIGURED,PASSED,GET,2,1,LONG,IV,u,u,u,u,u,0
11,bindings,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,example,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,file_store,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,i2c,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,log,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,param3,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,param4,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,rparam3,CONFIGURED,FAILED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,rparam4,CONFIGURED,FAILED,GET,2,1,LONG,VAT,u,u,180,1,u,u
11,serialize,CONFIGURED,PASSED,GET,2,1,LONG,VAT,u,u,180,1,u,u
