MUTANT,TEST,CONFIGURATION,RESULT
7,bindings,CONFIGURED,PASSED
7,example,CONFIGURED,PASSED
7,file_store,CONFIGURED,PASSED
7,i2c,CONFIGURED,PASSED
7,log,CONFIGURED,PASSED
7,param3,CONFIGURED,PASSED
7,param4,CONFIGURED,PASSED
7,rparam3,CONFIGURED,FAILED
7,rparam4,CONFIGURED,FAILED
7,serialize,CONFIGURED,PASSED
7,spi,CONFIGURED,PASSED
7,store,CONFIGURED,PASSED
7,store_load,CONFIGURED,PASSED
7,vmem_store_checksum_first,CONFIGURED,PASSED
7,vmem_store_checksum_last,CONFIGURED,PASSED
8,bindings,CONFIGURED,PASSED
8,example,CONFIGURED,PASSED
8,file_store,CONFIGURED,PASSED
8,i2c,CONFIGURED,PASSED
8,log,CONFIGURED,PASSED
8,param3,CONFIGURED,PASSED
8,param4,CONFIGURED,PASSED
8,rparam3,CONFIGURED,FAILED
8,rparam4,CONFIGURED,FAILED
8,serialize,CONFIGURED,PASSED
8,spi,CONFIGURED,PASSED
8,store,CONFIGURED,PASSED
8,store_load,CONFIGURED,PASSED
8,vmem_store_checksum_first,CONFIGURED,PASSED
8,vmem_store_checksum_last,CONFIGURED,PASSED
9,bindings,CONFIGURED,PASSED
9,example,CONFIGURED,PASSED
9,file_store,CONFIGURED,PASSED
9,i2c,CONFIGURED,PASSED
9,log,CONFIGURED,PASSED
9,param3,CONFIGURED,PASSED
9,param4,CONFIGURED,PASSED
9,rparam3,CONFIGURED,FAILED
9,rparam4,CONFIGURED,FAILED
9,serialize,CONFIGURED,PASSED
9,spi,CONFIGURED,PASSED
9,store,CONFIGURED,PASSED
9,store_load,CONFIGURED,PASSED
9,vmem_store_checksum_first,CONFIGURED,PASSED
9,vmem_store_checksum_last,CONFIGURED,PASSED
10,bindings,CONFIGURED,PASSED
10,example,CONFIGURED,PASSED
10,file_store,CONFIGURED,PASSED
10,i2c,CONFIGURED,PASSED
10,log,CONFIGURED,PASSED
10,param3,CONFIGURED,PASSED
10,param4,CONFIGURED,PASSED
10,rparam3,CONFIGURED,FAILED
10,rparam4,CONFIGURED,FAILED
10,serialize,CONFIGURED,PASSED
10,spi,CONFIGURED,PASSED
10,store,CONFIGURED,PASSED
10,store_load,CONFIGURED,PASSED
10,vmem_store_checksum_first,CONFIGURED,PASSED
10,vmem_store_checksum_last,CONFIGURED,PASSED
11,bindings,CONFIGURED,PASSED
11,example,CONFIGURED,PASSED
11,file_store,CONFIGURED,PASSED
11,i2c,CONFIGURED,PASSED
11,log,CONFIGURED,PASSED
11,param3,CONFIGURED,PASSED
11,param4,CONFIGURED,PASSED
11,rparam3,CONFIGURED,FAILED
11,rparam4,CONFIGURED,FAILED
11,serialize,CONFIGURED,PASSED
11,spi,CONFIGURED,PASSED
11,store,CONFIGURED,PASSED
11,store_load,CONFIGURED,PASSED
11,vmem_store_checksum_first,CONFIGURED,PASSED
11,vmem_store_checksum_last,CONFIGURED,PASSED
12,bindings,CONFIGURED,PASSED
12,example,CONFIGURED,PASSED
12,file_store,CONFIGURED,PASSED
12,i2c,CONFIGURED,PASSED
12,log,CONFIGURED,PASSED
12,param3,CONFIGURED,PASSED
12,param4,CONFIGURED,PASSED
12,rparam3,CONFIGURED,FAILED
12,rparam4,CONFIGURED,FAILED
12,serialize,CONFIGURED,PASSED
12,spi,CONFIGURED,PASSED
12,store,CONFIGURED,PASSED
12,store_load,CONFIGURED,PASSED
12,vmem_store_checksum_first,CONFIGURED,PASSED
12,vmem_store_checksum_last,CONFIGURED,PASSED
13,bindings,CONFIGURED,PASSED
13,example,CONFIGURED,PASSED
13,file_store,CONFIGURED,PASSED
13,i2c,CONFIGURED,PASSED
13,log,CONFIGURED,PASSED
13,param3,CONFIGURED,PASSED
13,param4,CONFIGURED,PASSED
13,rparam3,CONFIGURED,FAILED
13,rparam4,CONFIGURED,FAILED
13,serialize,CONFIGURED,PASSED
13,spi,CONFIGURED,PASSED
13,store,CONFIGURED,PASSED
13,store_load,CONFIGURED,PASSED
13,vmem_store_checksum_first,CONFIGURED,PASSED
13,vmem_store_checksum_last,CONFIGURED,PASSED
14,bindings,CONFIGURED,PASSED
14,example,CONFIGURED,PASSED
14,file_store,CONFIGURED,PASSED
14,i2c,CONFIGURED,PASSED
14,log,CONFIGURED,PASSED
14,param3,CONFIGURED,PASSED
14,param4,CONFIGURED,PASSED
14,rparam3,CONFIGURED,FAILED
14,rparam4,CONFIGURED,FAILED
14,serialize,CONFIGURED,PASSED
14,spi,CONFIGURED,PASSED
14,store,CONFIGURED,PASSED
14,store_load,CONFIGURED,PASSED
14,vmem_store_checksum_first,CONFIGURED,PASSED
14,vmem_store_checksum_last,CONFIGURED,PASSED
15,bindings,CONFIGURED,PASSED
15,example,CONFIGURED,PASSED
15,file_store,CONFIGURED,PASSED
15,i2c,CONFIGURED,PASSED
15,log,CONFIGURED,PASSED
15,param3,CONFIGURED,PASSED
15,param4,CONFIGURED,PASSED
15,rparam3,CONFIGURED,FAILED
15,rparam4,CONFIGURED,FAILED
15,serialize,CONFIGURED,PASSED
15,spi,CONFIGURED,PASSED
15,store,CONFIGURED,PASSED
15,store_load,CONFIGURED,PASSED
15,vmem_store_checksum_first,CONFIGURED,PASSED
